"Sensor Name","Sensor Description","Solution KM Note","Solution for the issue","Issue Summary","Issue Description","Issue Severity","Product to raise SR if help needed","Sr Component","Sr Sub Component","Business Flow","Business Impact","Prod Family","Prod Area"
"JDEFIN_F0011_F0411_POST","JDE Financial sensor: Voucher Post Code Mismatch Between F0411 and F0011","2818897.1","Follow instructions in 2818897.1 E1: FIN: How to Resolve Post Code Discrepancy between Batch Header and Transaction Table","Voucher Post Code Mismatch Between F0411 and F0011","Post Codes not matching for Voucher batch types between Accounts Payable Ledger (F0411 table) and Batch Headers (F0011 table).","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Check for Post Codes not matching for Voucher batch types between Accounts Payable Ledger (F0411 table) and Batch Headers (F0011 table).","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_F0011_F0413_POST","JDE Financial sensor: Payment Post Code mismatch betwee F0413 and F0011","2818897.1","Follow instructions in Doc ID 2818897.1 E1: FIN: How to Resolve Post Code Discrepancy between Batch Header and Transaction Table.","Payment Post Code mismatch betwee F0413 and F0011","Post Codes not matching for Payment Batch Types between Accounts Payable - Matching Document (F0413 table) and Batch Headers (F0011 table).","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Check Post Codes not matching for Payment batch types between Accounts Payable - Matching Document (F0413 table) and Batch Headers (F0011 table).","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_F0012_01","JDE Financial sensor: Accounts associated with AAIs not exist in the Account Master","664780.1","Submit the integrities listed in solution doc 664780.1. Should any exceptions appear that are related to the R09801 focused troubleshooting is required","Accounts associated with AAIs not exist in the Account Master","Number of not posted batches older than x months.","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that all batches older than the timeframe specified in the threshold are posted (R09801) to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_F0012_02","JDE Financial sensor: Number of AP Trade Accounts with blank Post Edit Code","1991354.1","Check the Posting Edit Code in P0901 for the AP Trade Accounts Posting Edit Code should normally be 'M' for the Account pointed to AAI PC to allow only machine-generated journal entries. See document E1: 04: How To Set Up Automatic Accounting Instructions (AAIs) Within EnterpriseOne Accounts Payable (P0012) (Doc ID 1991354.1)","Number of AP Trade Accounts with blank Post Edit Code","AP Trade Accounts cannot have a blank Post Edit Code","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Verify that no Accounts Payable Trade accounts have a blank Post Edit Code in the Account Master (F0901) to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_F0012_03","JDE Financial sensor: Number of Intercompany Accounts with blank Post Edit Code","1416193.1","Verify all intercompany-related accounts in the P0901 application have a post edit code of M, otherwise direct entries made to those accounts could cause imbalances on the R097011 intercompany account integrity report","Number of Intercompany Accounts with blank Post Edit Code","Intercompany Accounts cannot have a blank Post Edit Code","2","JD Edwards EnterpriseOne General Ledger","JOURNA",,"JDE Financial","Verify that no Intercompany accounts have a blank Post Edit Code in the Account Master (F0901) to ensure data integrity.","JDE E1 Financials","JDE E1 General Accounting"
"JDEFIN_F0012_04","JDE Financial sensor: Number of AR Trade Accounts with blank Post Edit Code","2829434.1","Refer to E1: 03B: Verify that no Accounts Receivable Trade accounts have a blank Post Edit Code in the Account Master table (F0901) to ensure data integrity (Doc ID 2829434.1)","Number of AR Trade Accounts with blank Post Edit Code","AR Trade Accounts cannot have a blank Post Edit Code","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that no Accounts Receivable Trade accounts have a blank Post Edit Code in the Account Master (F0901) to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEDIST_F0411_01","JDE Distribution sensor: Stuck Voucher Batches in F0411","1638122.1","To implement the solution, please execute the following steps: 1. Review Work Center Messages to verify any errors. 2. Review the R09801E (Batch Error Report). 3. Review the Voucher Journal Report (R04305). 4. Fix the transaction based on the error received posting the batch. 5. Repost the batch after making the appropriate changes. For more details, please review the following document: E1: 43: Troubleshooting Out of Balance Voucher Batches Created in Procurement (Doc ID 1638122.1)","Stuck Voucher Batches in F0411","Purchasing voucher batch / batches stuck during processing of R09801","2","JD Edwards EnterpriseOne Procurement and Subcontract Management","PROCUR",,"JDE Distribution","Unable to Post or Reverse Procurement Voucher","JDE E1 Distribution","JDE E1 Procurement/Subcontract"
"JDEFIN_F0012_05","JDE Financial sensor: Number of AP Trade accounts without AE documents","1991354.1","Check the Posting Edit Code in P0901 for the AP Trade Accounts Posting Edit Code should normally be 'M' for the Account pointed to AAI PC to allow only machine-generated journal entries. See document E1: 04: How To Set Up Automatic Accounting Instructions (AAIs) Within EnterpriseOne Accounts Payable (P0012) (Doc ID 1991354.1)","Number of AP Trade accounts without AE documents","No AE documents must exist for the AP Trade Account","2","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Verify that only AE (Automatic Entry) documents exist for the Accounts Payable Trade account in the General Ledger (F0911) to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_F0012_06","JDE Financial sensor: Number of AR Trade accounts without AE documents","2830040.1","Refer to E1: 03B: Verify that only AE (Automatic Entry) documents exist for the Accounts Receivable Trade account in the Account Ledger (F0911) to ensure data integrity (Doc ID 2830040.1)","Number of AR Trade accounts without AE documents","No AE documents must exist for the AR Trade Account","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that only AE (Automatic Entry) documents exist for the Accounts Receivable Trade account in the General Ledger (F0911) to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F0030_01","JDE Financial sensor: Corrupt or non-existent Unique Next Number in F0030","2830503.1","Go to P00022, query for table F0030, then change the Unique Key ID to a value that is greater than the greatest table value identified then Save the change. See document E1: FIN: Overview and Frequently Asked Questions of Unique Next Numbers (P00022) in JD Edwards EnterpriseOne Financial Management (Doc ID 2830503.1).","Corrupt or non-existent Unique Next Number in F0030","Corrupt or non-existent Unique Next Number triggers error when adding, revising or deleting records in F0030","3","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Verify that the Unique Key in the F00022 table is higher than the highest Unique Key value written in the Bank Transit Master table (F0030) to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_F0030_02","JDE Financial sensor: Unique Key field blank in table F0030","2834425.1","Go to Databrowser, query for table F0030, delete or correct the blank or zero for the UKID record from F0030 table See document E1: 04: Validate That The Unique Key Field In The Bank Transit Master Table (F0030) Is Populated With A Valid Value For All Records To Prevent Errors When Adding, Changing Or Deleting A Record (Doc ID 2834425.1)","Unique Key field blank in table F0030","Unique Key field blank in F0030 table","3","JD Edwards EnterpriseOne Accounts Payable","EDIDI",,"JDE Financial","Validate that the unique key field in the Bank Transit Master table (F0030) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Payable"
"JDEFIN_F0101Z2_01","JDE Financial sensor: Performance impact - Size of F0101Z2 Z table","1517639.1","Refer to solution doc 1517639.1 for guidance on record limitation","Performance impact - Size of F0101Z2 Z table","Size of F0101Z2 Z table impact the performance","3","JD Edwards EnterpriseOne Address Book","ADDRESS",,"JDE Financial","Validate that the Address Book ? Interoperability table (F0101Z2) does not exceed the specified threshold number of records to prevent performance degradation.","JDE E1 Financials","JDE E1 Address Book"
"JDEFIN_F0101_01","JDE Financial sensor: Unique Key field blank in table F0101","1511984.1","Refer to solution doc 1511984.1 for guidance on address book entry","Unique Key field blank in table F0101","Unique Key field blank in F0101 table","2","JD Edwards EnterpriseOne Address Book","ADDRESS",,"JDE Financial","Validate that the unique key field in the Address Book table (F0101) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Address Book"
"JDEFIN_F01112Z1_01","JDE Financial sensor: Performance impact - Size of F01112Z1 Z table","1517639.1","Refer to solution doc 1517639.1 for guidance on record capacity","Performance impact - Size of F01112Z1 Z table","Size of F01112Z1 Z table impact the performance","4","JD Edwards EnterpriseOne Address Book","ADDRESS",,"JDE Financial","Validate that the Batch - Related Person table (F01112Z1) does not exceed the specified threshold number of records to prevent performance degradation.","JDE E1 Financials","JDE E1 Address Book"
"JDEFIN_F0111Z1_01","JDE Financial sensor: Performance impact - Size of F0111Z1 Z table","1517639.1","Refer to solution doc 1517639.1 for guidance on record capacity","Performance impact - Size of F0111Z1 Z table","Size of F0111Z1 Z table impact the performance","4","JD Edwards EnterpriseOne Address Book","ADDRESS",,"JDE Financial","Validate that the Batch Who's Who Information table (F0111Z1) does not exceed the specified threshold number of records to prevent performance degradation.","JDE E1 Financials","JDE E1 Address Book"
"JDEFIN_F01151Z1_01","JDE Financial sensor: Performance impact - Size of F01151Z1 Z table","1517639.1","Refer to solution doc 1517639.1 for guidance on record capacity","Performance impact - Size of F01151Z1 Z table","Size of F01151Z1 Z table impact the performance","4","JD Edwards EnterpriseOne Address Book","ADDRESS",,"JDE Financial","Validate that the Batch - Electronic Address table (F01151Z1) does not exceed the specified threshold number of records to prevent performance degradation.","JDE E1 Financials","JDE E1 Address Book"
"JDEFIN_F0115Z1_01","JDE Financial sensor: Performance impact - Size of F0115Z1 Z table","1517639.1","Refer to solution doc 1517639.1 for guidance on record capacity","Performance impact - Size of F0115Z1 Z table","Size of F0115Z1 Z table impact the performance","4","JD Edwards EnterpriseOne Address Book","ADDRESS",,"JDE Financial","Validate that the Phones ? Interoperability table (F0115Z1) does not exceed the specified threshold number of records to prevent performance degradation.","JDE E1 Financials","JDE E1 Address Book"
"JDEDIST_F4072_01","JDE Distribution sensor: Price Adjustment will expire in 7 days","2826756.1","To resolve the issue, follow the steps below: 1.From menu G4231112 select Adjustment Setup > Price and Adjustment Detail Revisions (P4072) 2.Find each expiring Price Adjustment one at a time and do the following: 3.Add a new Price Adjustment Detail record with the same name and new dates OR 4.Change the Expired Date on the existing record to a date further in the future. For more details, please review the document - E1: 45: Price Adjustment Detail Records (F4072) Will Expire in 7 days or Less (Doc ID 2826756.1)","Price Adjustment will expire in 7 days","Price Adjustment Detail Record (F4072) will expire in 7 days.","3","JD Edwards EnterpriseOne Advanced Pricing - Sales","ADVANC",,"JDE Distribution","Price Sent To Customer Does Not Include Discount Requiring a Credit to be processed","JDE E1 Distribution","JDE E1 Advanced Pricing"
"JDEFIN_F01161Z1_01","JDE Financial sensor: Performance impact - Size of F01161Z1 Z table","1517639.1","Refer to solution doc 1517639.1 for guidance on the record capacity","Performance impact - Size of F01161Z1 Z table","Size of F01161Z1 Z table impact the performance","4","JD Edwards EnterpriseOne Address Book","ADDRESS",,"JDE Financial","Validate that the Batch - Alternative Address table (F01161Z1) does not exceed the specified threshold number of records to prevent performance degradation.","JDE E1 Financials","JDE E1 Address Book"
"JDEFIN_F0150_01","JDE Financial sensor: Circular references in F0150","645413.1","Circular parent-child relationships in Address Organization Structure Master (F0150) are known to cause the Credit Analysis Refresh (R03B525) and Statistical History Build (R03B16A) UBEs to loop continuously. To identify them, view the Credit and Cash Management table (F03B15) and use the Customer Address Book numbers to review the Address Organization Structure Master (F0150) for circular parent/child relationships. For example, Customer B is the Parent of Customer A and is the Child of Customer A. See also the answer to Question 4 in E1: 03B: FAQ - Frequently Asked Questions regarding Credit Analysis Refresh (R03B525) (Doc ID 645413.1)","Circular references in F0150","There are circular references in F0150","2","JD Edwards EnterpriseOne Address Book","ADDRESS",,"JDE Financial","Validate that no circular parent-child relationship exists which would cause the Credit Analysis Refresh (R03B525) and Statistical History Build (R03B16A) UBEs to loop continuously.","JDE E1 Financials","JDE E1 Address Book"
"JDEFIN_F03012_01","JDE Financial sensor: Unique Key field blank in table F03012","2830055.1","Refer to E1: 03B: Validate that the unique key field in the Customer Master table (F03012) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record (Doc ID 2830055.1)","Unique Key field blank in table F03012","Unique Key field blank in F03012 table","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the unique key field in the Customer Master table (F03012) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B116W_01","JDE Financial sensor: Corrupt or non-existent Unique Next Number in F03B116W","2827519.1","Refer to E1: 03B: Unique Key ID field in Revenue Recognition Invoice To Account Ledger (F03B116W) is higher than Unique Key ID in Unique Key File - Next Available Unique Key (F00022) (Doc ID 2827519.1)","Corrupt or non-existent Unique Next Number in F03B116W","Corrupt or non-existent Unique Next Number triggers error when adding, revising or deleting records in F03B116W","2","JD Edwards EnterpriseOne Accounts Receivable","REVREC",,"JDE Financial","Verify that the Unique Key in the F00022 table is higher than the highest Unique Key value written in the Revenue Recognition Invoice To Account Ledger table (F03B116W) to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B116W_02","JDE Financial sensor: Unique Key field blank in table F03B116W","2827217.1","Refer to E1: 03B: Unique Key ID field blank is found in Revenue Recognition Invoice To Account Ledger (F03B116W) table (Doc ID 2827217.1)","Unique Key field blank in table F03B116W","Unique Key field blank in F03B116W table","2","JD Edwards EnterpriseOne Accounts Receivable","REVREC",,"JDE Financial","Validate that the unique key field in the Revenue Recognition Invoice To Account Ledger table (F03B116W) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B11SW_01","JDE Financial sensor: Corrupt or non-existent Unique Next Number in F03B11SW","2830103.1","Refer to E1: 03B: Unique Key ID field in Customer Ledger Summary Work Table (F03B11SW) is higher than Unique Key ID in Unique Key File - Next Available Unique Key (F00022) (Doc ID 2830103.1)","Corrupt or non-existent Unique Next Number in F03B11SW","Corrupt or non-existent Unique Next Number triggers error when adding, revising or deleting records in F03B11SW","4","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the Unique Key in the F00022 table is higher than the highest Unique Key value written in the Customer Ledger Summary Work Table (F03B11SW) to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B11SW_02","JDE Financial sensor: Unique Key field blank in table F03B11SW","2834735.1","Refer to E1: 03B: Unique Key ID field blank is found in Customer Ledger Summary Work Table (F03B11SW) table (Doc ID 2834735.1)","Unique Key field blank in table F03B11SW","Unique Key field blank in F03B11SW table","4","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the unique key field in the Supplemental Data table (F00092) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B11Z1_01","JDE Financial sensor: Performance impact - Size of F03B11Z1 Z table","2832612.1","Refer to E1: 03B: How Many Records Can Be Uploaded with Batch Invoices (F03B11Z1) in One Batch? (Doc ID 2832612.1).","Performance impact - Size of F03B11Z1 Z table","Size of F03B11Z1 Z table impact the performance","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the Batch Invoices table (F03B11Z1) does not exceed the specified threshold number of records to prevent performance degradation.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B11Z2_01","JDE Financial sensor: Performance impact - Size of F03B11Z2 Z table","2832623.1","Refer to E1: 03B: How Many Records Can Be Stored in F03B11 Interoperability Table (F03B11Z2) for One Transaction Batch? (Doc ID 2832623.1).","Performance impact - Size of F03B11Z2 Z table","Size of F03B11Z2 Z table impact the performance","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the F03B11 Interoperability table (F03B11Z2) does not exceed the specified threshold number of records to prevent performance degradation.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B11_01","JDE Financial sensor: Number of not paid items with null open amount in F03B11","2831848.1","Refer to E1: 03B: Invoices with null open amount were found in F03B11 (Customer Ledger) (Doc ID 2831848.1)","Number of not paid items with null open amount in F03B11","If a line item's pay status is not P in the F03B11, then the open amount for that record cannot be blank in F03B11","3","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Accounts Receivable Ledger (F03B11) data integrity: verify that all unpaid invoices have an open amount to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEDIST_F40UI74_01","JDE Distribution sensor: Orphaned Records in F40UI74","2827106.1","To resolve the issue, request the IT department to use SQL to clear the work table For more details, please review the document - E1: 45: Orphaned Records Were Found in the Price Adjustment History Work File (F40UI74) (Doc ID 2827106.1)","Orphaned Records in F40UI74","Orphaned Records in Price Adjustment History Work File (F40UI74)","2","JD Edwards EnterpriseOne Advanced Pricing - Procurement","ADVANC",,"JDE Distribution","Failure to Update Price Adjustment due to Duplicate Key Violation","JDE E1 Distribution","JDE E1 Advanced Pricing"
"JDEFIN_F03B11_02","JDE Financial sensor: Number of paid items with not null open amount in F03B11","2831849.1","Refer to E1: 03B: Paid Invoices with Not Null Open Amount Were Found in F03B11 (Customer Ledger) (Doc ID 2831849.1)","Number of paid items with not null open amount in F03B11","If a line item's pay status is P in the F03B11, then the open amount for that record must be blank in F03B11","3","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Accounts Receivable Ledger (F03B11) data integrity: verify that all paid invoices do not have an open amount to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B13Z1_01","JDE Financial sensor: Performance impact - Size of F03B13Z1 Z table","2831829.1","Refer to E1: 03B: What is the number of lines that can be uploaded in one go via F03B13Z1 (Electronic Receipts table)? (Doc ID 2831829.1)","Performance impact - Size of F03B13Z1 Z table","Size of F03B13Z1 Z table impact the performance","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the Electronic Receipts Input table (F03B13Z1) does not exceed the specified threshold number of records to prevent performance degradation.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B13Z2_01","JDE Financial sensor: Performance impact - Size of F03B13Z2 Z table","2832539.1","Refer to E1: 03B What Is the Number of Lines that Can Be Stored for One Receipt Batch in F03B13Z2 (F03B13 Interoperability Table)? (Doc ID 2832539.1)","Performance impact - Size of F03B13Z2 Z table","Size of F03B13Z2 Z table impact the performance","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the F03B13 Interoperability table (F03B13Z2) does not exceed the specified threshold number of records to prevent performance degradation.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B13_01","JDE Financial sensor: Unique Key field blank in table F03B13","2832072.1","Refer to E1: 03B: Valid Values for Payment ID (PYID) in F03B13 (Receipts Header)/F03B14 (Receipts Detail) (Doc ID 2832072.1)","Unique Key field blank in table F03B13","Unique Key field blank in F03B13 table","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the unique key field in the Receipts Header table (F03B13) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B13_02","JDE Financial sensor: Number of PYID mismatches in F03B13 to F03B14","2832074.1","Refer to E1: 03B: How Many Payment ID (PYID) Lines Exists in F03B13 (Receipts Header)/F03B14 (Receipts Detail) for One Receipt? (Doc ID 2832074.1).","Number of PYID mismatches in F03B13 to F03B14","For each PYID in F03B13, at least 1 matching PYID must exist in F03B14","3","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Receipt Header and Detail (F03B13/F03B14) data integrity: verify that for each Payment ID in the F03B13 table, at least 1 matching Payment ID exists in the F03B14 table to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B13_03","JDE Financial sensor: Number of duplicate PYID in F03B13","2832064.1","Refer to E1: 03B: More than One Record for a Payment ID Was Found in the Receipt Header (F03B13) Table (Doc ID 2832064.1)","Number of duplicate PYID in F03B13","Only 1 record per PYID can exist in F03B13","3","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Receipt Header (F03B13) data integrity: verify that only one record per Payment ID exists in the F03B13 table to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B13_04","JDE Financial sensor: D posting code mismatch in F03B13 to F03B14","2832103.1","Refer to E1: 03B: Verify that the Posted Codes in the Receipt Header (F03B13) and Receipt Detail (F03B14) Tables Match per Payment ID (Doc ID 2832103.1)","D posting code mismatch in F03B13 to F03B14","If a F03B13 record posted code is D, then its matching F03B14 record posted code must also be D","3","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Payment Header and Detail (F03B13/F03B14) data integrity: verify that the posted codes in the F03B13 and F03B14 table match per payment ID to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B14_01","JDE Financial sensor: Unique Key field blank in table F03B14","2832072.1","Refer to E1: 03B: Valid Values for Payment ID (PYID) in F03B13 (Receipts Header)/F03B14 (Receipts Detail) (Doc ID 2832072.1)","Unique Key field blank in table F03B14","Unique Key field blank in F03B14 table","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the unique key field in the Receipts Detail table (F03B14) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B14_02","JDE Financial sensor: Number of PYID mismatches in F03B14 to F03B13","2832287.1","E1: 03B: A Payment ID Exists in the Receipt Detail Table (F03B14), but No Matching Payment ID Exists in the Receipt Header table (F03B13) (Doc ID 2832287.1)","Number of PYID mismatches in F03B14 to F03B13","For each PYID in F03B14, 1 matching PYID must exist in F03B13","3","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Receipt Header and Detail (F03B13/F03B14) data integrity: verify that for each Payment ID in the F03B14 table, one matching Payment ID exists in the F03B13 table to ensure data integrity.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B20_01","JDE Financial sensor: Corrupt or non-existent Unique Next Number in F03B20","2830503.1","Go to P00022, query for table F03B20, then change the Unique Key ID to a value that is greater than the greatest table value identified then Save the change. See document E1: FIN: Overview and Frequently Asked Questions of Unique Next Numbers (P00022) in JD Edwards EnterpriseOne Financial Management (Doc ID 2830503.1).","Corrupt or non-existent Unique Next Number in F03B20","Corrupt or non-existent Unique Next Number triggers error when adding, revising or deleting records in F03B20","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the Unique Key in the F00022 table is higher than the highest Unique Key value written in the A/R Notification History table (F03B20) to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEDIST_F41021WF_01","JDE Distribution sensor: Orphaned Records in F41021 Transaction Workfile (F41021WF)","2068721.1","The information provided in the following document shows how to troubleshoot and resolve the issue: E1: 40: Troubleshoot F41021WF in Inventory Transaction (Doc ID 2068721.1) Question 7: How to handle it when we determine it is orphaned data? Answer 7: Possibly, 1. Go to databrowser and open up F41021WF and verify the audit information 2. Check e1root_*.log in JAS and jde_*.logs in EnterpriseOne to determine whether Commit Fail took place or not 3. If it does not have transaction failure message then try to simulate issue by running application with logging on 4. When log is traced user action, verify whether there is any missing bugs or similar Or, 1. Issue query as below, sql> select distinct (LWPIDP) from proddta.f41021wf; 2. Review User ID (F41021WF.LWUSER) 3. Inquire e1root_*.log whether it contains any commit fail error 4. If not, try to simulate the routine which leaves orphaned data from F41021WF 3. Are they the outcome of Commit Fail error or simply orphaned data 4. Check integrity between F4111 and F41021 (e.g., integrity check) 5. If needed, rollback it through P42210/R42210 or when there is no discrepancy between F4111 and F41021 truncate table F41021WF through query tool 6. In case you want to debug it further, capture both jasdebug.log and jdedebug.log to determine possible cause of orphaned data Next: Question 9: Can data from F41021WF are purged? Any concerns? Answer 9: Commonly as a month-end processing, you run R41544 (Item Balance\Ledger Integrity) [Refer to Document 625402.1 - E1: 41: As Of Processing (P4111 / P41112 / R41760 / R41540 / R41542)] and if there is no discrepancy between F41021 and F4111, you may purge data in F41021WF either through query tool or through Generate Table option in OMW (Object Management Workbench). Any date which is specific to CTID (szComputerID, commonly it records client's machine name, which is, JAS machine name) and JOBS (mnJObNumberA) is specific a certain transaction. Then if this transaction","Orphaned Records in F41021 Transaction Workfile (F41021WF)","Orphaned Records in F41021 Transaction Workfile (F41021WF).","3","JD Edwards EnterpriseOne Inventory Management","INVENT",,"JDE Distribution","Stock will be incorrect. If left unchecked for a long time, can hide multiple occurrences that happened in the past and the effect will pile up and so will be harder to fix when discovered.","JDE E1 Distribution","JDE E1 Inventory"
"JDEFIN_F03B20_02","JDE Financial sensor: Unique Key field blank in table F03B20","1510372.1","Solution doc 644234.1 addresses how AR Delinquency Notification functionality works. If corrections are needed on F03B20 records, refer to solution doc 1510372.1 for guidance on possible corrective actions.","Unique Key field blank in table F03B20","Unique Key field blank in F03B20 table","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the unique key field in the A/R Notification History table (F03B20) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B22_01","JDE Financial sensor: Corrupt or non-existent Unique Next Number in F03B22","2830503.1","Go to P00022, query for table F03B22, then change the Unique Key ID to a value that is greater than the greatest table value identified then Save the change. See document E1: FIN: Overview and Frequently Asked Questions of Unique Next Numbers (P00022) in JD Edwards EnterpriseOne Financial Management (Doc ID 2830503.1).","Corrupt or non-existent Unique Next Number in F03B22","Corrupt or non-existent Unique Next Number triggers error when adding, revising or deleting records in F03B22","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the Unique Key in the F00022 table is higher than the highest Unique Key value written in the A/R Fee Journal History table (F03B22) to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B22_02","JDE Financial sensor: Unique Key field blank in table F03B22","944991.1","Solution doc 1490134.1 addresses how AR Delinquency Fee functionality works. If corrections to F03B22 records are needed, refer to solution doc 944991.1 for possible corrective actions.","Unique Key field blank in table F03B22","Unique Key field blank in F03B22 table","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the unique key field in the A/R Fee Journal History table (F03B22) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B571_01","JDE Financial sensor: Corrupt or non-existent Unique Next Number in F03B571","2830503.1","Go to P00022, query for table F03B571, then change the Unique Key ID to a value that is greater than the greatest table value identified then Save the change. See document E1: FIN: Overview and Frequently Asked Questions of Unique Next Numbers (P00022) in JD Edwards EnterpriseOne Financial Management (Doc ID 2830503.1).","Corrupt or non-existent Unique Next Number in F03B571","Corrupt or non-existent Unique Next Number triggers error when adding, revising or deleting records in F03B571","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Verify that the Unique Key in the F00022 table is higher than the highest Unique Key value written in the Auto Debit Batch Control table (F03B571) to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
"JDEFIN_F03B571_02","JDE Financial sensor: Unique Key field blank in table F03B571","655040.1","Solution doc 655040.1 addresses how AR Automatic Debit functionality works. If corrections are needed, refer to solution doc 655040.1 for possible corrective actions.","Unique Key field blank in table F03B571","Unique Key field blank in F03B571 table","2","JD Edwards EnterpriseOne Accounts Receivable","INVO",,"JDE Financial","Validate that the unique key field in the Auto Debit Batch Control table (F03B571) is populated with a valid value for all records to prevent errors when adding, changing or deleting a record.","JDE E1 Financials","JDE E1 Accounts Receivable"
